Taxa,Dat1_Exp,NL1_S1,NL2_S6,NL3_S8,NL4_S22,NL5_S24,NL6_S26,NL7_S36,NL8_S39,PC1_S10,PC2_S15,PC3_S20,PC4_S29,Dat1_Cont
Taxon1,147,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon2,119,1,0,0,0,0,0,0,0,0,0,0,0,1
Taxon3,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon4,32,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon6,431,0,0,0,0,0,0,0,0,0,0,0,1,1
Taxon7,45,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon8,3425,0,0,2,0,1,0,0,0,0,0,0,0,3
Taxon9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon10,95,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon11,220,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon12,4216,0,0,3,0,0,0,0,0,6,0,0,0,9
Taxon13,5767,0,0,2,0,0,0,0,0,4,1,0,1,8
Taxon14,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon15,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon16,276,0,0,0,0,0,1,0,0,0,0,0,0,1
Taxon17,910,0,0,0,0,0,0,0,0,0,1,0,2,3
Taxon18,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon20,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon22,3269,0,0,0,0,0,0,1,0,1,0,0,0,2
Taxon23,361,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon24,1006,0,0,0,0,0,2,0,0,2,0,1,0,5
Taxon25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon26,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon27,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon28,10965,0,0,1,1,0,1,0,4,0,0,2,1,10
Taxon29,1194,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon30,193,0,0,0,0,0,0,0,0,0,0,0,1,1
Taxon31,1518,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon32,3740,0,0,0,0,0,0,0,1,1,1,0,0,3
Taxon33,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon34,2165,0,0,0,2,0,2,0,0,0,0,0,1,5
Taxon35,18551,0,0,2,4,0,4,1,9,2,2,0,1,25
Taxon36,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon38,221,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon39,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon40,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon41,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon42,129,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon43,1684,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon44,124,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon46,3554,0,0,1,0,1,1,0,0,1,0,0,1,5
Taxon47,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon48,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon49,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon50,13221,0,0,1,2,0,1,1,2,2,4,0,1,14
Taxon51,1160,0,0,0,0,0,0,1,0,0,0,0,0,1
Taxon52,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon53,99,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon54,4039,0,0,0,0,0,2,0,0,0,2,0,3,7
Taxon55,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon56,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon57,249,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon58,543,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon59,3489,0,0,1,0,0,0,0,0,0,0,0,0,1
Taxon60,41,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon61,12757,3,1,0,0,0,1,3,10,1,0,0,1,20
Taxon62,3,0,0,0,0,0,0,0,0,0,0,0,0,0
