Taxa,Dat2_Exp,Negative1_S297,Negative2_S298,Negative3_S299,Negative4_S300,Negative5_S301,Negative6_S302,Negative8_S303,Dat2_Cont
Taxon1,1,0,0,0,0,0,0,0,0
Taxon2,13,0,0,0,0,0,0,0,0
Taxon3,18,0,0,0,0,0,0,0,0
Taxon4,439,0,0,0,0,0,0,0,0
Taxon5,1,0,0,0,0,0,0,0,0
Taxon6,3,0,0,0,0,0,0,0,0
Taxon7,1,0,0,0,0,0,0,0,0
Taxon8,99,0,0,0,0,0,0,0,0
Taxon9,130,0,0,0,0,1,0,0,1
Taxon10,4,0,0,0,0,0,0,0,0
Taxon11,367,0,0,0,0,0,0,0,0
Taxon12,3285,0,0,1,0,1,0,0,2
Taxon13,1,0,0,0,0,0,0,0,0
Taxon14,37,0,0,0,0,0,0,0,0
Taxon15,39,0,0,0,0,0,0,0,0
Taxon16,413,1,0,0,0,0,0,0,1
Taxon17,577,0,0,0,0,0,0,0,0
Taxon18,1,0,0,0,0,0,0,0,0
Taxon19,40,0,0,0,0,0,0,0,0
Taxon20,62,0,0,0,0,0,0,0,0
Taxon21,43,0,0,0,0,0,0,0,0
Taxon22,9,0,0,0,0,0,0,0,0
Taxon23,3980,0,0,0,0,0,0,0,0
Taxon24,37,0,0,0,0,0,0,0,0
Taxon25,27,0,0,0,0,0,0,0,0
Taxon26,2283,0,0,0,0,0,0,0,0
Taxon27,8156545,26,32,37,14,27,182,16,334
Taxon28,514,0,1,0,0,0,1,0,2
Taxon29,1,0,0,0,0,0,0,0,0
Taxon30,3,0,0,0,0,0,0,0,0
Taxon31,11,0,0,0,0,0,0,0,0
Taxon32,4516915,15,13,24,21,16,20,26,135
Taxon33,7390,2,0,1,0,0,0,3,6
Taxon34,2,0,0,0,0,0,0,0,0
Taxon35,1,0,0,0,0,0,0,0,0
Taxon36,33960,0,0,1,1,1,0,2,5
Taxon37,78,0,0,0,0,0,0,0,0
Taxon38,533,0,0,0,0,0,0,0,0
Taxon39,31,0,0,0,0,0,0,0,0
Taxon40,18,0,0,0,0,0,0,0,0
Taxon41,1,0,0,0,0,0,0,0,0
Taxon42,252,0,0,0,0,0,0,0,0
Taxon43,5,0,0,0,0,0,0,0,0
Taxon44,7,0,0,0,0,0,0,0,0
Taxon45,55,0,0,0,0,0,0,0,0
Taxon46,5,0,0,0,0,0,0,0,0
Taxon47,7,0,0,0,0,0,0,0,0
Taxon48,1,0,0,0,0,0,0,0,0
Taxon49,134724,2,5,2,1,2,2,1,15
Taxon50,2,0,0,0,0,0,0,0,0
Taxon51,2,0,0,0,0,0,0,0,0
Taxon52,4,0,0,0,0,0,0,0,0
Taxon53,5,0,0,0,0,0,0,0,0
Taxon54,4,0,0,0,0,0,0,0,0
Taxon55,56,0,0,0,0,0,0,0,0
Taxon56,3,0,0,0,0,0,0,0,0
Taxon57,5,0,0,0,0,0,0,0,0
Taxon58,1,0,0,0,0,0,0,0,0
Taxon59,4,0,0,0,0,0,0,0,0
Taxon60,67,0,0,0,0,0,0,0,0
Taxon61,8,0,0,0,0,0,0,0,0
Taxon62,930,0,0,0,0,0,0,0,0
Taxon63,2,0,0,0,0,0,0,0,0
Taxon64,14,0,0,0,0,0,0,0,0
Taxon65,82,0,0,0,0,0,0,0,0
Taxon66,15,0,0,0,0,0,0,0,0
Taxon67,1,0,0,0,0,0,0,0,0
Taxon68,20251,0,1,0,0,0,1,0,2
Taxon69,187,0,0,0,0,0,0,1,1
Taxon70,2,0,0,0,0,0,0,0,0
Taxon71,4,0,0,0,0,0,0,0,0
Taxon72,73,0,0,0,0,0,0,0,0
Taxon73,61,0,0,0,0,0,0,0,0
Taxon74,8,0,0,0,0,0,0,0,0
Taxon75,10,0,0,0,0,0,0,0,0
Taxon76,1,0,0,0,0,0,0,0,0
Taxon77,8,0,0,0,0,0,0,0,0
Taxon78,165030,0,0,0,3,1,0,0,4
Taxon79,1,0,0,0,0,0,0,0,0
Taxon80,2,0,0,0,0,0,0,0,0
Taxon81,436,0,0,0,0,0,0,0,0
Taxon82,2,0,0,0,0,0,0,0,0
Taxon83,1874,0,1,0,0,0,0,1,2
Taxon84,224,0,0,0,0,1,0,0,1
Taxon85,841,0,0,0,0,0,0,0,0
Taxon86,5,0,0,0,0,0,0,0,0
Taxon87,14,0,0,0,0,0,0,0,0
Taxon88,847,0,0,1,0,0,0,0,1
Taxon89,150,0,0,0,1,0,0,0,1
Taxon90,22616,0,0,0,0,0,0,0,0
Taxon91,26,0,0,0,0,0,0,0,0
Taxon92,104,0,0,0,0,0,0,0,0
Taxon93,1,0,0,0,0,0,0,0,0
Taxon94,3,0,0,0,0,0,0,0,0
Taxon95,1183,0,0,0,0,0,0,0,0
Taxon96,700,0,0,0,0,0,0,0,0
Taxon97,6,0,0,0,0,0,0,0,0
Taxon98,78,0,0,0,0,0,0,0,0
Taxon99,1,0,0,0,0,0,0,0,0
Taxon100,357,0,0,0,0,0,0,0,0
Taxon101,1,0,0,0,0,0,0,0,0
Taxon102,10,0,0,0,0,0,0,0,0
Taxon103,20,0,0,0,0,0,0,0,0
